Abbreviated Journal Title;ISSN;{2011} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2011} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
AAOHN J;0891-0162;405;0.509;;0.078;51;6.5;0.00085;;
ABACUS;0001-3072;282;0.860;0.960;0.050;20;9.7;0.00054;0.290;
ACAD MANAG ANN;1941-6520;360;4.480;6.980;0.188;16;3.4;0.00432;4.622;
ACAD MANAG LEARN EDU;1537-260X;938;4.800;4.053;0.769;26;5.1;0.00287;1.196;
ACAD MANAGE J;0001-4273;17848;5.608;10.565;0.648;54;>10.0;0.03108;5.630;
ACAD MANAGE PERSPECT;1558-9080;456;3.750;2.704;1.000;21;3.3;0.00358;1.228;
ACAD MANAGE REV;0363-7425;16559;6.169;11.442;1.733;30;>10.0;0.02100;5.558;
ACAD PSYCHIATR;1042-9670;687;0.810;1.054;0.661;56;5.2;0.00196;0.306;
ACAD-REV LATINOAM AD;1012-8255;9;0.061;;0.050;20;;0.00001;;
ACCIDENT ANAL PREV;0001-4575;5730;1.867;2.367;0.390;264;7.1;0.01391;0.773;
ACCOUNT BUS RES;0001-4788;97;0.378;;0.000;22;;0.00034;;
ACCOUNT FINANC;0810-5391;299;0.646;;0.184;38;6.5;0.00051;;
ACCOUNT HORIZ;0888-7993;680;1.759;;0.030;33;>10.0;0.00109;;
ACCOUNT ORG SOC;0361-3682;2420;2.878;3.381;0.625;32;9.9;0.00428;1.155;
ACCOUNT REV;0001-4826;4026;2.418;3.404;0.444;72;9.9;0.00840;1.637;
ACROSS LANG CULT;1585-1923;5;0.120;;0.000;11;;0.00004;;
ACTA BIOETH;0717-5906;15;0.000;;;;;0.00004;;
ACTA HISTRIAE;1318-0185;29;0.184;;0.026;38;;0.00000;;
ACTA LINGUIST HUNGAR;1216-8076;58;0.062;;0.000;19;;0.00033;;
ACTA OECON;0001-6373;35;0.375;;0.059;17;;0.00018;;
ACTA PAUL ENFERM;0103-2100;262;0.273;;0.040;99;4.2;0.00052;;
ACTA POLIT;0001-6810;216;0.649;1.147;0.062;16;5.9;0.00134;0.768;
ACTA PSYCHIAT SCAND;0001-690X;10311;4.220;4.299;0.903;93;>10.0;0.01506;1.335;
ACTA PSYCHOL;0001-6918;3707;2.255;2.609;0.503;143;>10.0;0.00881;1.033;
ACTA SOCIOL;0001-6993;487;1.135;1.580;0.043;23;>10.0;0.00142;0.775;
ACTES RECH SCI SOC;0335-5322;326;0.145;0.278;0.000;27;>10.0;0.00044;0.160;
ACTION RES-LONDON;1476-7503;155;0.872;;0.045;22;5.1;0.00072;;
ACTUAL PROBL ECON;1993-6788;46;0.039;;0.005;556;;0.00001;;
ADAPT BEHAV;1059-7123;395;1.019;1.244;0.083;24;7.6;0.00088;0.405;
ADDICT BEHAV;0306-4603;6416;2.085;2.522;0.225;236;6.9;0.01689;0.842;
ADDICT RES THEORY;1606-6359;611;1.032;1.067;0.321;56;6.8;0.00133;0.326;
ADDICTION;0965-2140;11940;4.313;4.739;1.937;207;6.9;0.03101;1.689;
ADICCIONES;0214-4840;201;0.800;;0.167;24;5.5;0.00034;;
ADM POLICY MENT HLTH;0894-587X;800;2.094;2.242;0.756;41;4.6;0.00346;0.737;
ADMIN LAW REV;0001-8368;482;0.803;0.860;0.725;40;9.4;0.00099;0.345;
ADMIN SCI QUART;0001-8392;11438;4.212;6.545;0.083;12;>10.0;0.00679;4.207;
ADMIN SOC;0095-3997;622;0.730;1.247;0.105;38;7.7;0.00177;0.543;
ADMIN SOC WORK;0364-3107;222;0.360;0.667;0.038;26;7.6;0.00031;0.152;
ADOLESCENCE;0001-8449;1512;0.639;1.327;;;>10.0;0.00180;0.465;
