Abbreviated Journal Title;ISSN;{2013} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2013} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
AAOHN J;0891-0162;399;0.608;0.623;;0;7.9;0.00060;0.164;
ABACUS;0001-3072;318;0.821;1.040;0.129;31;7.8;0.00055;0.328;
ACAD MANAG ANN;1941-6520;778;7.333;10.154;0.600;15;4.4;0.00711;6.561;
ACAD MANAG LEARN EDU;1537-260X;1106;2.121;3.579;0.200;30;6.0;0.00311;1.230;
ACAD MANAGE J;0001-4273;19426;4.974;8.443;0.541;74;>10.0;0.02525;5.244;
ACAD MANAGE PERSPECT;1558-9080;738;2.826;3.766;0.913;23;4.7;0.00413;1.808;
ACAD MANAGE REV;0363-7425;17707;7.817;9.698;1.414;29;>10.0;0.01436;5.321;
ACAD PSYCHIATR;1042-9670;968;1.243;1.479;0.418;67;5.7;0.00173;0.313;
ACAD-REV LATINOAM AD;1012-8255;44;0.395;0.297;0.000;16;;0.00003;0.019;
ACCIDENT ANAL PREV;0001-4575;9082;2.571;3.096;0.371;509;7.0;0.01721;0.839;
ACCOUNT AUDIT ACCOUN;0951-3574;1205;1.101;;0.190;42;9.0;0.00162;;
ACCOUNT BUS RES;0001-4788;147;0.932;1.000;0.042;24;4.0;0.00057;0.315;
ACCOUNT FINANC;0810-5391;415;0.796;0.898;0.143;49;5.9;0.00095;0.252;
ACCOUNT HORIZ;0888-7993;837;0.787;1.711;0.190;42;>10.0;0.00130;0.610;
ACCOUNT ORG SOC;0361-3682;2835;2.109;3.834;0.312;32;>10.0;0.00435;1.273;
ACCOUNT REV;0001-4826;4639;2.234;3.426;0.315;73;>10.0;0.01031;1.831;
ACROSS LANG CULT;1585-1923;4;0.000;0.065;0.000;14;;0.00007;0.067;
ACTA BIOETH;1726-569X;18;0.060;0.073;;;;0.00003;0.017;
ACTA HISTRIAE;1318-0185;28;0.050;0.098;0.043;47;;0.00001;0.003;
ACTA LINGUIST HUNGAR;1216-8076;94;0.139;0.524;0.000;12;;0.00056;0.401;
ACTA OECON;0001-6373;29;0.083;0.175;0.100;20;;0.00006;0.044;
ACTA PAUL ENFERM;0103-2100;379;0.267;0.401;0.056;90;4.5;0.00066;0.059;
ACTA POLIT;0001-6810;275;0.667;1.056;0.100;20;6.9;0.00103;0.685;
ACTA PSYCHIAT SCAND;0001-690X;11812;5.545;5.080;2.052;97;>10.0;0.01305;1.484;
ACTA PSYCHOL;0001-6918;4938;2.367;3.016;0.400;160;9.1;0.01295;1.224;
ACTA SOCIOL;0001-6993;536;0.977;1.165;0.150;20;>10.0;0.00098;0.605;
ACTES RECH SCI SOC;0335-5322;243;0.143;0.128;;;>10.0;0.00039;0.159;
ACTION RES-LONDON;1476-7503;180;0.422;1.000;0.083;24;5.4;0.00053;0.311;
ADAPT BEHAV;1059-7123;453;1.151;1.325;0.114;35;7.7;0.00094;0.447;
ADDICT BEHAV;0306-4603;8070;2.441;2.800;0.354;237;7.3;0.01500;0.877;
ADDICT RES THEORY;1606-6359;762;1.019;1.193;0.408;49;7.2;0.00143;0.345;
ADDICTION;0965-2140;14621;4.894;5.467;1.652;207;7.4;0.03161;1.846;
ADICCIONES;0214-4840;296;1.167;1.117;0.161;31;4.7;0.00068;0.253;
ADM POLICY MENT HLTH;0894-587X;1141;3.442;3.254;0.851;47;4.9;0.00382;1.077;
ADMIN LAW REV;0001-8368;392;0.966;0.850;0.222;9;8.8;0.00093;0.381;
ADMIN SCI QUART;0001-8392;11897;2.394;7.057;0.471;17;>10.0;0.00780;5.383;
ADMIN SOC;0095-3997;675;0.693;1.119;0.073;41;7.9;0.00147;0.477;
ADMIN SOC WORK;0364-3107;320;0.462;0.872;0.028;36;8.2;0.00050;0.238;
ADULT EDUC QUART;0741-7136;350;0.786;0.918;0.053;19;>10.0;0.00057;0.354;
ADV CHILD DEV BEHAV;0065-2407;429;0.933;1.307;0.667;21;>10.0;0.00078;0.623;
ADV EXP SOC PSYCHOL;0065-2601;3453;4.556;7.854;1.100;10;>10.0;0.00317;4.642;
ADV HEALTH SCI EDUC;1382-4996;1191;2.705;2.976;0.394;66;4.7;0.00478;1.149;
ADV LIFE COURSE RES;1569-4909;154;0.714;;0.375;24;4.7;0.00061;;
ADV NURS SCI;0161-9268;841;0.867;1.160;0.121;33;>10.0;0.00096;0.342;
ADV SKIN WOUND CARE;1527-7941;813;1.634;;0.190;42;6.5;0.00182;;
ADV STRATEG MANAGE;0742-3322;247;0.517;0.551;;;>10.0;0.00044;0.342;
AFFILIA J WOM SOC WO;0886-1099;257;0.180;0.610;0.000;34;8.7;0.00055;0.225;
AFR AFFAIRS;0001-9909;779;1.554;1.825;0.538;26;8.5;0.00226;0.991;
AFR ASIAN STUD;1569-2094;48;0.091;0.356;0.000;18;;0.00035;0.234;
AFR DEV REV;1017-6772;207;0.633;0.690;0.087;46;6.1;0.00024;0.103;
AFR J LIBR ARCH INFO;0795-4778;19;0.115;0.099;0.000;13;;0.00002;0.015;
AFR J PSYCHIATRY;1994-8220;152;0.727;;;;3.5;0.00063;;
AFR LINGUIST;0065-4124;26;0.133;0.375;0.000;5;;0.00018;0.336;
AFR SPECTR;0002-0397;85;0.808;0.517;0.412;17;;0.00033;0.230;
AFR STUD REV;0002-0206;270;0.239;0.458;;;>10.0;0.00064;0.320;
AFR STUD-UK;0002-0184;174;0.128;0.342;0.045;22;>10.0;0.00028;0.149;
AFRICA;0001-9720;607;0.745;0.977;0.138;29;>10.0;0.00130;0.592;
AGEING SOC;0144-686X;1534;1.323;1.767;0.207;58;7.9;0.00315;0.612;
AGGRESS VIOLENT BEH;1359-1789;1816;2.119;2.699;0.287;87;7.3;0.00411;0.963;
AGGRESSIVE BEHAV;0096-140X;2201;2.269;2.797;0.283;46;8.7;0.00399;1.056;
AGING MENT HEALTH;1360-7863;2338;1.781;2.106;0.274;124;6.1;0.00567;0.644;
AGING NEUROPSYCHOL C;1382-5585;750;1.186;1.328;0.184;38;7.4;0.00148;0.478;
AGR ECON-BLACKWELL;0169-5150;1500;1.085;1.674;0.429;70;7.4;0.00399;0.704;
AGR ECON-CZECH;0139-570X;127;0.325;0.310;0.035;57;4.2;0.00031;0.058;
AGR HIST;0002-1482;223;0.324;0.262;0.000;18;>10.0;0.00012;0.086;
AGR HUM VALUES;0889-048X;970;1.359;1.926;0.326;43;7.5;0.00176;0.562;
AGRIBUSINESS;0742-4477;433;0.516;0.981;0.156;32;8.7;0.00078;0.303;
AIBR-REV ANTROPOL IB;1695-9752;5;0.000;;;;;0.00002;;
AIDS BEHAV;1090-7165;5154;3.312;3.977;0.656;326;4.2;0.01735;1.176;
AIDS CARE;0954-0121;4802;2.194;2.454;0.357;227;5.8;0.01278;0.780;
AIDS EDUC PREV;0899-9546;1684;1.505;2.298;0.095;42;8.4;0.00311;0.763;
AIDS PATIENT CARE ST;1087-2914;2774;3.576;3.255;0.321;81;5.2;0.00793;0.985;
AJAR-AFR J AIDS RES;1608-5906;225;0.608;0.671;0.000;26;5.1;0.00072;0.208;
AJIDD-AM J INTELLECT;1944-7515;384;2.409;2.818;0.407;27;3.2;0.00164;0.746;
ALCOHOL ALCOHOLISM;0735-0414;3764;2.092;2.747;0.798;94;8.0;0.00650;0.816;
ALCOHOL RES HEALTH;1535-7414;1279;1.403;1.544;;0;>10.0;0.00117;0.515;
ALCOHOL RES-CURR REV;1535-7414;28;;;0.783;23;;0.00006;;
ALTERNATIVES;0304-3754;268;0.362;0.464;0.000;19;>10.0;0.00048;0.259;
AM ANN DEAF;0002-726X;484;0.885;1.080;0.364;22;9.1;0.00059;0.238;
AM ANTHROPOL;0002-7294;2690;1.124;1.403;0.317;41;>10.0;0.00248;0.706;
AM ANTIQUITY;0002-7316;2125;1.348;1.480;0.238;42;>10.0;0.00115;0.403;
AM BANKRUPT LAW J;0027-9048;122;0.636;0.523;;;8.6;0.00053;0.371;
AM BEHAV SCI;0002-7642;2397;0.926;1.086;0.482;85;>10.0;0.00442;0.616;
AM BUS LAW J;0002-7766;614;1.600;1.538;0.368;19;>10.0;0.00028;0.207;
AM CRIM LAW REV;0164-0364;267;0.443;0.373;0.000;37;9.4;0.00032;0.091;
AM ECON J-APPL ECON;1945-7782;721;3.079;4.327;1.763;38;3.3;0.01668;6.674;
AM ECON J-ECON POLIC;1945-7731;427;2.561;3.304;1.071;42;3.0;0.01041;5.435;
AM ECON J-MACROECON;1945-7707;632;2.887;4.983;1.517;29;3.4;0.01435;7.363;
AM ECON J-MICROECON;1945-7669;280;1.672;2.125;0.618;34;3.1;0.00687;3.437;
AM ECON REV;0002-8282;30920;3.305;4.568;1.087;196;>10.0;0.11203;6.296;
AM EDUC RES J;0002-8312;2844;2.275;3.618;0.372;43;>10.0;0.00666;2.245;
AM ETHNOL;0094-0496;1463;1.737;1.787;0.152;46;>10.0;0.00402;1.073;
AM HIST REV;0002-8762;1148;1.293;1.463;0.360;25;>10.0;0.00294;1.298;
AM INDIAN ALASKA NAT;0893-5394;121;0.667;0.767;0.000;10;>10.0;0.00020;0.283;
AM J ADDICTION;1055-0496;1781;1.520;2.164;0.193;88;6.6;0.00417;0.706;
AM J AGR ECON;0002-9092;4680;1.363;1.691;0.384;112;>10.0;0.00761;0.856;
AM J BIOETHICS;1526-5161;1450;3.887;3.794;13.080;25;4.2;0.00394;1.435;
AM J CLIN HYPN;0002-9157;287;0.490;0.525;0.400;10;>10.0;0.00035;0.205;
AM J COMMUN PSYCHOL;0091-0562;3499;1.968;2.888;0.408;76;>10.0;0.00532;0.940;
AM J COMP LAW;0002-919X;391;0.527;0.611;0.200;5;>10.0;0.00099;0.355;
AM J DRUG ALCOHOL AB;0095-2990;1867;1.470;1.807;0.228;57;8.1;0.00357;0.566;
AM J ECON SOCIOL;0002-9246;404;0.330;0.414;0.041;49;>10.0;0.00084;0.227;
AM J EDUC;0195-6744;529;1.590;1.304;0.143;21;>10.0;0.00168;0.991;
AM J EVAL;1098-2140;675;0.965;1.527;0.300;20;7.8;0.00115;0.536;
AM J FAM THER;0192-6187;339;0.527;0.538;0.125;32;>10.0;0.00041;0.173;
AM J GERIAT PSYCHIAT;1064-7481;4842;3.519;4.097;1.423;123;6.0;0.01160;1.270;
AM J HEALTH BEHAV;1945-7359;1429;1.137;1.690;0.227;88;6.5;0.00327;0.553;
AM J HEALTH PROMOT;0890-1171;2201;1.762;2.389;0.250;76;8.8;0.00412;0.867;
AM J HUM BIOL;1042-0533;2471;1.928;2.160;0.303;99;6.5;0.00599;0.711;
AM J INT LAW;0002-9300;1284;1.358;1.141;1.026;39;>10.0;0.00168;0.355;
AM J MANAG CARE;1088-0224;2922;2.166;2.688;0.313;115;5.3;0.01165;1.162;
AM J MENS HEALTH;1557-9883;296;1.269;1.243;0.203;59;3.1;0.00139;0.413;
AM J NURS;0002-936X;1028;1.319;1.284;0.125;40;8.0;0.00183;0.381;
AM J OCCUP THER;0272-9490;2588;1.552;1.831;1.771;70;>10.0;0.00274;0.456;
AM J ORTHOPSYCHIAT;0002-9432;2577;1.504;2.164;0.103;58;>10.0;0.00353;0.788;
AM J PHYS ANTHROPOL;0002-9483;9514;2.514;2.841;0.511;180;>10.0;0.01342;0.912;
AM J POLIT SCI;0092-5853;7012;2.516;4.324;0.400;65;>10.0;0.02074;4.068;
AM J PSYCHIAT;0002-953X;43193;13.559;15.062;3.361;119;>10.0;0.04917;5.204;
AM J PSYCHOL;0002-9556;2111;0.769;1.000;0.312;32;>10.0;0.00111;0.407;
AM J PUBLIC HEALTH;0090-0036;27247;4.229;4.997;0.620;426;10.0;0.05061;1.996;
AM J SOCIOL;0002-9602;11681;4.045;4.912;0.371;35;>10.0;0.01192;3.930;
AM J SPEECH-LANG PAT;1058-0360;1109;1.644;2.289;0.173;52;8.7;0.00202;0.764;
AM LAW ECON REV;1465-7252;260;0.788;1.247;0.000;16;7.5;0.00169;1.251;
AM POLIT RES;1532-673X;495;0.880;1.005;0.050;40;7.2;0.00288;0.869;
AM POLIT SCI REV;0003-0554;8540;3.844;5.298;0.490;49;>10.0;0.01940;5.679;
AM PSYCHOL;0003-066X;16533;5.450;7.852;1.113;53;>10.0;0.01312;3.437;
AM REV PUBLIC ADM;0275-0740;603;0.875;1.187;0.229;35;7.8;0.00159;0.575;
AM SOCIOL REV;0003-1224;12515;4.266;6.097;0.476;42;>10.0;0.01447;4.217;
AM SPEECH;0003-1283;311;0.250;0.391;0.300;20;>10.0;0.00053;0.291;
AMFITEATRU ECON;1582-9146;209;0.838;0.687;0.151;53;3.2;0.00033;0.070;
AMME IDARESI DERG;1300-1795;13;0.020;0.039;0.000;28;;0.00001;0.004;
AN PSICOL-SPAIN;0212-9728;419;0.549;0.708;0.165;115;4.5;0.00057;0.103;
AN SIST SANIT NAVAR;1137-6627;271;0.557;0.425;0.469;49;5.6;0.00030;0.062;
ANAL SOC ISS PUB POL;1529-7489;240;0.550;;0.522;23;6.6;0.00085;;
ANDAMIOS;1870-0063;7;0.000;0.019;;;;0.00006;0.024;
ANN AM ACAD POLIT SS;0002-7162;2235;1.028;1.382;0.234;64;9.6;0.00602;0.915;
ANN ASSOC AM GEOGR;0004-5608;3412;2.088;2.466;0.417;96;>10.0;0.00583;1.038;
ANN BEHAV MED;0883-6612;4465;3.621;5.379;0.910;89;6.9;0.01038;1.860;
ANN CLIN PSYCHIATRY;1040-1237;944;2.525;2.418;0.219;32;7.6;0.00158;0.673;
ANN DYSLEXIA;0736-9387;545;1.792;2.357;0.200;15;>10.0;0.00072;0.770;
ANN ECON FINANC;1529-7373;89;0.417;0.455;0.059;34;;0.00043;0.294;
ANN GEN PSYCHIATR;1744-859X;451;1.532;;0.098;41;5.1;0.00126;;
ANN HUM BIOL;0301-4460;1580;1.148;1.515;0.182;77;>10.0;0.00277;0.492;
ANN PSYCHOL;0003-5033;266;0.440;0.328;0.077;26;>10.0;0.00028;0.133;
ANN REGIONAL SCI;0570-1864;912;0.739;1.279;0.060;84;6.7;0.00278;0.517;
ANN SCI;0003-3790;243;0.395;0.424;0.040;25;>10.0;0.00077;0.501;
ANN TOURISM RES;0160-7383;4480;2.795;3.216;0.320;75;>10.0;0.00326;0.671;
ANNU REV ANTHROPOL;0084-6570;2318;2.246;2.701;0.080;25;>10.0;0.00311;1.391;
ANNU REV APPL LINGUI;0267-1905;320;1.111;1.270;0.000;13;9.2;0.00081;0.772;
ANNU REV CLIN PSYCHO;1548-5943;2542;12.921;15.459;1.821;28;5.1;0.00941;5.763;
ANNU REV ECON;1941-1383;323;2.479;3.383;0.211;19;3.4;0.00851;5.435;
ANNU REV ENV RESOUR;1543-5938;1865;5.056;8.310;0.211;19;7.1;0.00496;3.425;
ANNU REV FINANC ECON;1941-1367;87;0.976;1.243;0.000;13;;0.00248;2.126;
ANNU REV INFORM SCI;0066-4200;481;1.727;3.022;;;7.7;0.00102;1.327;
ANNU REV LAW SOC SCI;1550-3585;290;1.357;1.556;0.000;19;5.4;0.00157;0.872;
ANNU REV POLIT SCI;1094-2939;1499;2.275;4.526;0.429;21;7.8;0.00807;4.178;
ANNU REV PSYCHOL;0066-4308;11810;20.533;25.106;4.650;20;10.0;0.02447;11.942;
ANNU REV PUBL HEALTH;0163-7525;3779;6.627;7.984;1.958;24;8.7;0.00693;3.276;
ANNU REV RESOUR ECON;1941-1340;142;1.026;1.647;0.087;23;4.0;0.00098;0.692;
ANNU REV SOCIOL;0360-0572;6083;3.630;7.047;0.040;25;>10.0;0.01024;4.803;
ANTHROPOL ANZ;0003-5548;218;0.500;0.537;0.065;31;8.7;0.00037;0.165;
ANTHROPOL EDUC QUART;0161-7761;449;0.765;0.930;0.000;27;>10.0;0.00103;0.538;
ANTHROPOL FORUM;0066-4677;101;0.571;0.471;0.320;25;6.5;0.00024;0.209;
ANTHROPOL NOTEB;1408-032X;27;0.394;;0.000;18;;0.00011;;
ANTHROPOL QUART;0003-5491;488;0.732;1.019;0.094;32;9.0;0.00179;0.662;
ANTHROPOL SOUTH AFR;0258-0144;35;0.120;0.273;0.000;8;;0.00009;0.096;
ANTHROPOL THEOR;1463-4996;302;0.643;1.173;0.000;20;6.8;0.00149;0.815;
ANTHROPOLOGIE;0003-5521;632;0.569;0.876;0.000;21;>10.0;0.00075;0.295;
ANTHROPOLOGIST;0972-0073;65;0.051;;0.062;81;;0.00007;;
ANTHROPOS;0257-9774;140;0.098;0.150;0.000;25;>10.0;0.00013;0.052;
ANTHROZOOS;0892-7936;542;0.672;1.123;0.025;40;8.8;0.00074;0.320;
ANTIPODE;0066-4812;2120;1.885;2.557;0.274;73;7.4;0.00631;1.165;
ANTIQUITY;0003-598X;2033;1.594;1.675;0.183;71;9.9;0.00357;0.548;
ANTITRUST LAW J;0003-6056;379;1.750;0.935;0.438;16;8.7;0.00100;0.563;
ANU ESTUD MEDIEV;0066-5061;25;0.017;0.041;;;;0.00005;0.020;
ANXIETY STRESS COPIN;1061-5806;925;1.692;2.274;0.364;44;6.6;0.00221;0.742;
APPL COGNITIVE PSYCH;0888-4080;2839;1.414;1.987;0.205;83;8.4;0.00618;0.807;
APPL DEV SCI;1088-8691;790;1.586;1.714;0.412;17;>10.0;0.00109;0.780;
APPL ECON;0003-6846;3508;0.518;0.672;0.242;418;8.6;0.00721;0.276;
APPL ECON LETT;1350-4851;1193;0.265;0.311;0.106;320;7.1;0.00381;0.148;
APPL ECON PERSPECT P;2040-5790;174;1.328;1.589;0.531;32;2.8;0.00118;0.789;
APPL ERGON;0003-6870;2692;1.332;1.642;0.398;123;8.4;0.00436;0.467;
APPL GEOGR;0143-6228;2060;2.650;3.049;0.450;191;3.2;0.00556;0.707;
APPL LINGUIST;0142-6001;1435;1.833;2.591;0.036;28;>10.0;0.00337;1.595;
APPL MEAS EDUC;0895-7347;411;0.353;0.632;0.000;17;>10.0;0.00081;0.514;
APPL NURS RES;0897-1897;719;1.139;1.342;0.041;49;8.3;0.00118;0.380;
APPL PSYCH MEAS;0146-6216;3157;0.843;1.153;0.103;39;>10.0;0.00269;0.883;
APPL PSYCHOL-HLTH WE;1758-0846;180;2.306;2.216;0.389;18;3.0;0.00089;0.719;
APPL PSYCHOL-INT REV;0269-994X;1864;2.098;3.565;0.276;29;9.2;0.00366;1.308;
APPL PSYCHOLINGUIST;0142-7164;1600;1.580;2.089;0.146;48;>10.0;0.00252;0.963;
APPL PSYCHOPHYS BIOF;1090-0586;702;1.593;2.058;0.393;28;6.8;0.00118;0.508;
APPL RES QUAL LIFE;1871-2584;141;0.642;;0.067;30;4.3;0.00045;;
APPL SPAT ANAL POLIC;1874-463X;64;0.679;;0.125;16;;0.00041;;
AQUICHAN;1657-5997;24;0.175;0.153;0.000;24;;0.00003;0.016;
ARCH CLIN NEUROPSYCH;0887-6177;2935;1.921;2.702;0.183;71;8.0;0.00378;0.719;
ARCH EUR SOCIOL;0003-9756;154;0.393;0.508;0.000;13;>10.0;0.00042;0.386;
ARCH GEN PSYCHIAT;0003-990X;38622;13.747;14.396;;0;>10.0;0.05448;5.215;
ARCH HIST EXACT SCI;0003-9519;223;0.324;0.319;0.059;17;>10.0;0.00052;0.346;
ARCH NAT HIST;0260-9541;93;0.213;;0.130;23;;0.00018;;
ARCH PSYCHIAT NURS;0883-9417;693;1.032;1.153;0.119;42;7.9;0.00104;0.281;
ARCH PSYCHOL RELIG;0084-6724;65;0.529;;0.167;18;;0.00030;;
ARCH SEX BEHAV;0004-0002;3917;2.783;3.550;0.432;139;6.2;0.00890;1.023;
ARCH SUICIDE RES;1381-1118;645;1.639;2.191;0.162;37;5.5;0.00174;0.643;
ARCHAEOL ANTHROP SCI;1866-9557;138;1.060;1.376;0.231;26;3.3;0.00073;0.471;
ARCHAEOL OCEAN;0003-8121;403;0.645;1.153;0.077;13;>10.0;0.00049;0.345;
ARCTIC ANTHROPOL;0066-6939;258;0.275;0.523;0.000;12;>10.0;0.00021;0.143;
AREA;0004-0894;1389;1.466;1.653;0.403;62;8.3;0.00264;0.640;
ARGUM OECON;1233-5835;11;0.207;0.117;0.000;15;;0.00002;0.015;
ARGUMENTATION;0920-427X;214;0.434;0.447;0.000;20;9.7;0.00034;0.143;
ARMED FORCES SOC;0095-327X;443;0.424;0.677;0.200;35;9.4;0.00074;0.271;
ART PSYCHOTHER;0197-4556;349;0.553;0.607;0.065;62;7.6;0.00030;0.085;
ASIA EUR J;1610-2932;55;0.267;0.230;0.000;29;;0.00022;0.090;
ASIA PAC BUS REV;1360-2381;235;0.583;;0.182;33;6.5;0.00039;;
ASIA PAC EDUC REV;1598-1037;225;0.375;0.561;0.038;52;4.4;0.00107;0.229;
ASIA PAC J ANTHROPOL;1444-2213;97;0.208;0.430;0.097;31;;0.00035;0.186;
ASIA PAC J EDUC;0218-8791;121;0.328;0.466;0.091;33;5.2;0.00057;0.231;
ASIA PAC J HUM RESOU;1038-4111;210;1.000;1.085;0.040;25;5.6;0.00056;0.317;
ASIA PAC J MANAG;0217-4561;1116;2.742;3.000;0.259;58;5.9;0.00256;0.831;
ASIA PAC J SOC WORK;0218-5385;20;0.152;0.151;0.000;23;;0.00007;0.060;
ASIA PAC J TOUR RES;1094-1665;250;0.566;;0.061;49;8.6;0.00034;;
ASIA PAC LAW REV;1019-2557;7;0.040;0.039;0.000;13;;0.00003;0.021;
ASIA PAC VIEWP;1360-7456;246;0.525;0.733;0.393;28;6.9;0.00059;0.296;
ASIA-PAC EDUC RES;0119-5646;185;0.793;0.966;0.056;72;3.0;0.00046;0.159;
ASIA-PAC J ACCOUNT E;1608-1625;49;0.150;0.122;0.042;24;;0.00003;0.018;
ASIA-PAC J FINANC ST;2041-9945;80;0.450;0.404;0.091;33;;0.00017;0.070;
ASIA-PAC J PUBLIC HE;1010-5395;708;1.111;1.312;0.614;57;3.9;0.00205;0.343;
ASIA-PAC J TEACH EDU;1359-866X;243;0.837;1.172;0.069;29;5.5;0.00082;0.426;
ASIA-PAC PSYCHIAT;1758-5864;60;0.422;0.491;0.066;76;;0.00016;0.084;
ASIAN AM J PSYCHOL;1948-1985;164;1.405;1.923;1.267;30;2.3;0.00057;0.523;
ASIAN BUS MANAG;1472-4782;120;0.367;0.575;0.333;24;5.1;0.00032;0.169;
