Abbreviated Journal Title;ISSN;{2012} Total Cites;Impact Factor;5-Year Impact Factor;Immediacy Index;{2012} Articles;Cited Half-Life;Eigenfactor Score;Article Influence Score
AAOHN J;0891-0162;474;0.856;0.977;;0;6.8;0.00083;0.216;
ABACUS;0001-3072;285;0.850;1.010;0.105;19;7.9;0.00051;0.284;
ACAD MANAG ANN;1941-6520;487;4.103;7.030;1.364;11;4.1;0.00544;4.649;
ACAD MANAG LEARN EDU;1537-260X;885;3.000;3.598;0.150;40;5.5;0.00267;1.160;
ACAD MANAGE J;0001-4273;18591;5.906;10.031;0.550;60;>10.0;0.02861;5.573;
ACAD MANAGE PERSPECT;1558-9080;581;3.174;3.318;0.400;25;3.9;0.00419;1.622;
ACAD MANAGE REV;0363-7425;16810;7.895;11.578;1.200;30;>10.0;0.02034;6.229;
ACAD PSYCHIATR;1042-9670;794;0.859;1.151;1.000;59;5.3;0.00148;0.257;
ACAD-REV LATINOAM AD;1012-8255;13;0.162;0.123;0.000;23;;0.00003;0.022;
ACCIDENT ANAL PREV;0001-4575;6386;1.964;2.391;0.367;286;7.0;0.01490;0.778;
ACCOUNT AUDIT ACCOUN;0951-3574;1065;0.922;;0.386;44;10.0;0.00133;;
ACCOUNT BUS RES;0001-4788;96;0.533;0.792;0.045;22;;0.00042;0.227;
ACCOUNT FINANC;0810-5391;309;0.875;0.794;0.046;65;5.9;0.00065;0.192;
ACCOUNT HORIZ;0888-7993;737;1.288;;0.333;27;9.7;0.00117;;
ACCOUNT ORG SOC;0361-3682;2271;1.867;3.143;0.125;32;>10.0;0.00364;1.028;
ACCOUNT REV;0001-4826;3969;2.319;3.204;0.603;73;>10.0;0.00795;1.474;
ACROSS LANG CULT;1585-1923;1;0.000;;;;;0.00002;;
ACTA BIOETH;1726-569X;15;0.061;0.049;;;;0.00003;0.012;
ACTA HISTRIAE;1318-0185;38;0.208;;0.048;42;;0.00001;;
ACTA LINGUIST HUNGAR;1216-8076;53;0.098;0.238;0.000;17;;0.00020;0.136;
ACTA OECON;0001-6373;55;0.273;0.280;0.263;19;;0.00010;0.075;
ACTA PAUL ENFERM;0103-2100;188;0.142;;;;4.5;0.00059;;
ACTA POLIT;0001-6810;214;0.361;1.088;0.000;20;6.5;0.00100;0.630;
ACTA PSYCHIAT SCAND;0001-690X;11048;4.857;4.625;1.000;98;>10.0;0.01391;1.388;
ACTA PSYCHOL;0001-6918;4007;2.206;2.628;0.280;143;9.4;0.01038;1.079;
ACTA SOCIOL;0001-6993;543;0.714;1.386;0.200;20;>10.0;0.00137;0.775;
ACTES RECH SCI SOC;0335-5322;281;0.140;0.220;0.043;23;>10.0;0.00045;0.170;
ACTION RES-LONDON;1476-7503;185;0.902;;0.000;23;4.8;0.00064;;
ADAPT BEHAV;1059-7123;490;1.113;1.545;0.414;29;7.5;0.00100;0.475;
ADDICT BEHAV;0306-4603;7365;2.021;2.578;0.323;229;7.4;0.01590;0.827;
ADDICT RES THEORY;1606-6359;627;0.922;1.008;0.412;51;7.2;0.00135;0.320;
